Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
Our call number here is 83-NORA-10. That's about it for the Grand Tour of the Narcotics Office. Okay, let's get down to business!	我們這裡的呼號是 83-NORA-10。緝毒組辦公室大致就參觀到這裡。好了，進入正題！
This creep Hoffman is on the verge of being released on bail. We suspect he's tied in with much bigger things than just the narcotics found in the trunk of the stolen car. He claims they were there when he "borrowed" it, of course.	這個 Hoffman 就快要交保釋放了。我們懷疑他牽涉的事情遠不只是失竊車後車廂裡的毒品。他當然聲稱那些東西在他「借」車時就已經在裡面。
We know damn well if he's released, he'll bolt like a rabbit. We need some hard evidence to keep him in. See if you can dig anything up that might convince Judge Palmer to keep the jerk locked up, okay? I've gotta go. Do your best, Sonny. Bye.	我們很清楚，他一旦獲釋就會像兔子一樣逃掉。我們需要確鑿證據把他留下。看看能否挖出足以說服 Palmer 法官繼續羈押這混蛋的東西，好嗎？我得走了。盡力而為，Sonny。再見。
Wow. Your first Narcotics investigation. You wonder where you should start.	哇，你第一次進行緝毒調查。你想著該從哪裡開始。
Hello, Sonny. Excuse me, I have a lot of work to do.	你好，Sonny。不好意思，我還有很多工作要做。
Detective Watts is busy right now, Bonds. Don't try to engage her in idle chatter.	Bonds，Watts 警探現在很忙，別找她閒聊。
Sonny! Just the man I wanted to see! Did you get the warrant?	Sonny！我正要找你！你拿到拘票了嗎？
Uh, no, the judge wouldn't grant it.	呃，不行，法官不會核准的。
DAMN! How did that happen? Oh, hell, we don't have time to worry about that now. We have a tip that a drug buy is about to go down in Bert's Park. Let's go, Sonny.	該死！怎麼會這樣？唉，現在沒時間管這個。我們收到線報，Bert 公園即將進行毒品交易。走吧，Sonny。
There you are Sonny. I came by to tell you that when you're done checking out the case evidence, Lt. Morgan wants to see you.	你在這裡啊，Sonny。我來告訴你，檢查完案件證物後，Morgan 中尉要見你。
Ok, I'll be there in a few minutes.	好，我幾分鐘後就到。
There you are, Sonny. Did you get the No Bail Warrant?	你在這裡啊，Sonny。你拿到不得交保拘票了嗎？
I sure did. Hoffman's not going anywhere.	當然拿到了。Hoffman 哪裡也跑不了。
Good job! We don't have time to rest on our laurels now, though. We just got in a call. One of our informants just let us know about an impending drug bust in Bert's Park. Let's roll, partner!	做得好！但現在沒時間休息。我們剛接到通報。有線人告知 Bert 公園即將進行毒品交易。出發吧，搭檔！
Okay!	好！
You don't need anything from that particular file drawer.	你不需要那個檔案抽屜裡的任何東西。
The drawer is labeled A through E.	抽屜標示著 A 到 E。
It's one of the licenses you confiscated at the stolen car bust.	這是你在查獲失竊車輛時沒收的其中一張駕照。
You look through the files until you find Hoffman, Marvin. You carefully take the file out and read it.	你翻閱檔案，直到找到 Marvin Hoffman。你小心取出檔案閱讀。
Hoffman, Marvin. Sex:M 6'0" Hair:Blk Eyes:Blue Wt:193 DOB 02-06-61 Distinguishing Marks: Rose tattoo over left nipple. Outstanding Warrants: Armed Robbery, Grand Theft Auto, Suspected Murder 1.	Hoffman，Marvin。性別：男，身高 6 呎，黑髮，藍眼，體重 193 磅，出生日期 1961-02-06。特徵：左乳頭上方有玫瑰刺青。未執行逮捕令：持械搶劫、重大竊車、涉嫌一級謀殺。
Prior Convictions: Grand Theft Auto, Aggravated Assault, Possesion of Cocaine Incarceration: 5 years+5 years parole	前科：重大竊車、加重攻擊、持有可卡因。刑期：五年，附五年假釋。
The file continues, but you've seen enough.	檔案還有後續，但你已經看夠了。
You take Hoffman's file with you.	你帶著 Hoffman 的檔案。
You look through Hoffman's file.	你翻閱 Hoffman 的檔案。
The pencil is long and yellow.	這支鉛筆又長又黃。
It's just a pencil, Bonds.	Bonds，這只是一支鉛筆。
You pick up the phone.	你拿起電話。
>>> GO TO PHONE INTERFACE <<<	>>> 前往電話介面 <<<
It's your phone.	這是你的電話。
It's a phone.	這是一具電話。
The printer hasn't printed anything; therefore, there's nothing to take.	印表機什麼都沒印出來，所以沒有東西可拿。
You pick up the freshly-printed Wanted poster of Jason Taselli and take it with you.	你拿起剛印好的 Jason Taselli 通緝海報，帶在身上。
It can't be...but it is! It's the one, the only, the original LaserDot I. With its tremendous 2 ppm and 60 dpi graphics, this workhorse of a printer must keep this office ever-supplied with quickly printed, high quality material.	怎麼可能……但確實是！這是獨一無二的原版 LaserDot I。憑藉驚人的 2 ppm 速度和 60 dpi 畫質，這台任勞任怨的印表機想必讓辦公室源源不絕地供應著快速列印的高品質文件。
It's the Narcotics office's old, slow laser printer. There's a wanted poster printout in the tray.	這是緝毒組辦公室那台老舊龜速的雷射印表機。托盤裡有一張列印出來的通緝海報。
You don't need anything from that particular drawer.	你不需要那個抽屜裡的任何東西。
The drawer is labeled N through Z.	抽屜標示著 N 到 Z。
Where were you thinking of taking it?	你打算把它拿去哪？
Its your desk, Sonny. Sure beats that low status pigeon hole.	這是你的桌子，Sonny。總比那個鴿子籠般的小隔間強多了。
This desk belongs to one of the members of the Narcotics Unit.	這張桌子屬於緝毒組的其中一名成員。
You slip the FBI's 10 Most Wanted poster into Hoffman's file for safekeeping.	你把 FBI 十大通緝要犯海報收進 Hoffman 的檔案裡妥善保管。
You don't need any of the other files.	你不需要其他檔案。
Come on, Sonny, we've gotta move!	快點，Sonny，我們得走了！
Only narcotics officers are allowed to use the equipment in this office.	只有緝毒組警官才能使用這間辦公室的設備。
You've got more important things to do, Bonds! Let's get moving!	Bonds，你還有更重要的事要做！我們走吧！
You don't need to use that.	你不需要用那個。
A computer workstation.	一台電腦工作站。
You touch the plant, and it sways gently back and forth, as if touched by a tropical wind.	你碰了碰植物，它輕輕前後搖曳，彷彿被一陣熱帶微風吹拂。
You wonder how the plant grew to be so big under these wimpy flourescent lights.	你很好奇，這株植物是怎麼在這麼微弱的日光燈下長得這麼大的。
It seems to have grown just a little bit taller now.	它現在似乎又長高了一點點。
You switch on your terminal. You can't believe how far police technology has progressed since your dad was a cop.	你打開終端機的電源。你簡直不敢相信，自從你爸當警察以來，警政科技進步了這麼多。
Don't mess with other department's equipment, Bonds.	Bonds，別亂碰其他部門的設備。
It's the terminal you will use during your investigation.	這是你調查期間會用到的終端機。
It's a computer terminal.	這是一台電腦終端機。
Detective Watts spent a long time battling with these shades, since the springs are worn out. Don't bother trying to muck with them.	Watts 警探跟這片捲簾奮戰了好一陣子，因為裡頭的彈簧已經磨損了。別費心去弄它。
These windows afford an excellent view of the high tension powerlines and transformers across the street. Pretty impressive.	這扇窗正對著街對面的高壓電線和變壓器，視野極佳，真是壯觀。
Like other good citizens, you're tempted to help pick up the dirty alley, but this is the wrong time for such a herculean effort.	跟其他好公民一樣，你很想幫忙清理這條髒巷子，但現在不是做這種艱鉅工程的時候。
The filthy, dimly lit alley leads to an appropriately filthy, dimly lit dive called Wino Willy's.	這條骯髒昏暗的巷子，通向一間同樣骯髒昏暗、恰如其分的小酒館——Wino Willy's 酒館。
Rather than attempting to remove the bikes yourself, it would be more efficient to find the owners and convince them to make other parking arrangements.	與其自己動手搬走那些機車，不如找到車主，說服他們換個地方停車，這樣更有效率。
These aren't your weekend rider-type bikes. If anything, they're bad news.	這些不是假日騎士那種閒閒沒事騎的機車。要說有什麼，那就是麻煩的象徵。
It's a well-designed building, Bonds. You don't need to help hold it up.	這棟建築設計得很好，Bonds。你不需要幫忙撐著它。
The beige brick building is the Lytton Savings & Loan.	這棟米色磚造建築是 Lytton 儲蓄貸款銀行。
Recently closed.	最近才歇業。
It's part of the reason that this section of town has been headed downhill.	這正是這一區逐漸沒落的部分原因。
The surface of the building is rough brick. Most of Lytton, in fact, is brick, since this part of California is prone to fires in the summer.	這棟建築的外牆是粗糙的磚面。事實上 Lytton 大部分的建築都是磚造的，因為加州這一帶夏天很容易發生火災。
This is the front of Caffeine Carol's, the coffee depot of choice for the patrol officers of the Lytton P.D...and for much of Lytton.	這是 Caffeine Carol's 的正門，是 Lytton 警局巡邏警員最愛光顧的咖啡店……其實也是 Lytton 大半居民的最愛。
That's the door to Caffeine Carol's.	那是 Caffeine Carol's 的門。
It's not of much use. It doesn't even look like it could drain water properly.	這沒什麼用處。看起來甚至沒辦法好好排水。
It's a rusted old drain pipe.	這是一根生鏽的老舊排水管。
If you can't keep your mind out of the gutter, at least keep your hands out of it!	就算你滿腦子都是齷齪念頭，至少把手從水溝裡拿出來！
The gutter. Frequently inhabited by rats, gum wrappers, and the occasional visitor to Wino Willy's.	水溝，裡頭常有老鼠、口香糖包裝紙棲息，偶爾還有從 Wino Willy's 出來、醉倒在此的客人。
You politely wipe your feet.	你有禮貌地擦了擦腳。
It's a welcome mat. Carol is always glad to see a paying customer.	這是一張門口踏墊。Carol 永遠樂於見到肯付錢的客人。
No need; the sidewalk was apparently recently swept by Carol.	不用了，這條人行道顯然剛被 Carol 掃過。
It's one of the many fine tax-payer supplied sidewalks you used to patrol on foot.	這是你以前徒步巡邏時，眾多由納稅人買單的優質人行道之一。
Where were you thinking of taking Carol's sign?	你打算把 Carol 的招牌拿去哪裡？
The sign strongly suggests that this might be Caffeine Carol's.	這塊招牌強烈暗示這裡可能就是 Caffeine Carol's。
It's your sleek, sexy personal auto.	這是你那輛流線性感的私家車。
So how come you never have any babes with you?	那你怎麼從來沒帶過辣妹上車？
It's your aging departmental-issue patrol car.	這是你那輛老舊的警局配發巡邏車。
It's your unmarked police car.	這是你的無標誌警車。
You should advise Carol about the bikers.	你應該去跟 Carol 說一下那些飆車族的事。
Maybe you should go and see what Carol's complaint is all about first.	或許你該先去看看 Carol 到底在抱怨什麼。
You'ld better check out those bikers. Carol's counting on you.	你最好去查一下那些飆車族。Carol 就指望你了。
You travelled all this way. You should at least talk to your friend Steve.	你都大老遠跑來了，至少該跟你朋友 Steve 聊聊。
You have one of your own.	你自己就有一個了。
That looks like Steve's patrol car...but Steve is nowhere to be seen.	那看起來像 Steve 的巡邏車……但 Steve 卻不見人影。
The street's clean. There's nothing to take.	這條街很乾淨，沒什麼東西好拿。
A perfectly ordinary stretch of Oak Street.	這是 Oak 街上一段再普通不過的路段。
Don't pick the poor weeds, Bonds. They have a tough lot in life.	Bonds，別去拔那些可憐的雜草。它們的人生已經夠苦了。
Scruffy little weeds grow in the alley that leads to Wino Willy's.	通往 Wino Willy's 的巷子裡，長著一叢叢邋遢的小雜草。
You express your admiration for the weeds' tenacity and strength. They don't answer.	你對這些雜草的頑強生命力表達了讚賞。它們沒有回應。
As much as you'd often like to tear this sign down and close Willy's for good (especially on some Friday and Saturday nights), destruction of private property is not exactly your idea of justice.	儘管你常常很想把這塊招牌扯下來，讓 Willy's 永遠關門大吉（尤其是某些星期五、星期六晚上），但破壞私人財產終究不是你心目中的正義。
The sign advertises Wino Willy's, the scuzziest bar in town.	這塊招牌打的廣告是 Wino Willy's，全鎮最髒的一間酒吧。
Try the door.	試試看那扇門。
It's the stained glass window of Caffeine Carol's. (Nicotine, tar, and fryer grease stained, that is.)	這是 Caffeine Carol's 的彩繪玻璃窗。（是被尼古丁、焦油和油炸油漬「彩繪」出來的那種。）
You have more important things to do than scrape the grease off the walls.	你有比刮掉牆上油垢更重要的事要做。
This is Caffeine Carol's, birthplace of countless ulcers.	這裡就是 Caffeine Carol's，無數胃潰瘍的發源地。
Consuming these totally unappetizing bacon and eggs is the furthest thing from your mind. You're no cook, but even you could do better than this at home.	你壓根不想吃這盤完全沒有食慾的培根蛋。你雖然不會做菜，但在家隨便弄都比這好吃。
Some bacon and two eggs are slowly incinerating on the grill. The grease appears to have pooled in the nooks and crannies.	幾片培根和兩顆蛋正在烤盤上慢慢燒成灰燼。油漬似乎已經積在每個角落縫隙裡。
Carol's bathroom brings to mind that old adage, "Fools rush in where angels fear to tread."	Carol 的洗手間讓你想起那句老話：「愚者敢闖天使不敢踏之地。」
It's the door to Caffeine Carol's bathroom. There used to a sign on the door saying, "Carol's Throne Room," but Carol was ribbed about it one too many times.	這是 Caffeine Carol's 洗手間的門。門上原本掛著一塊寫著「Carol 的御座間」的牌子，但 Carol 被人拿這個開玩笑開到受不了，後來就拿掉了。
It's being used. Besides, you have better things to do.	裡面有人在用。而且，你還有更重要的事要做。
It's one of the vintage 1950's booths Carol is so proud of. The food stuck between the seats is vintage 1950's, too.	這是 Carol 引以為傲的 1950 年代復古卡座之一。卡在座椅縫裡的食物，看起來也有 1950 年代的歷史了。
Ooh! Sonny, don't tempt me!	噢！Sonny，別誘惑我啦！
Carol is a veteran coffee dispenser. Working for others at first, she scrimped and saved her tips until she could afford a place of her own. Stumped for a name for her little cafe, she finally settled on Carol's. That was twenty-something years ago, she would tell you.	Carol 是個老練的咖啡師。她一開始替別人打工，省吃儉用存下小費，直到存夠錢開了自己的店。為這間小咖啡店取名字讓她傷透腦筋，最後她決定就叫「Carol's」。她會告訴你，那是二十幾年前的事了。
Forty-something would probably be more accurate, however.	不過，說是四十幾年前大概還比較準確。
Oh, honey, I'd love to talk but I got a couple orders up. Is everything okay? Good. Boy, my poodles are really barking today. I gotta soak these things in some epsom salts soon. Catch you later, Sonny.	喔，親愛的，我是很想聊，但我還有幾份餐點要出。一切都還好嗎？那就好。天啊，我這雙腳今天真的痠死了。我得趕快找點瀉鹽泡泡腳才行。晚點見啦，Sonny。
I don't think you'll have a problem with those motorcycles anymore, Carol. I suggested to them that they find another place to park.	Carol，我想那些機車以後應該不會再造成困擾了。我「建議」他們去別的地方停車。
Oh, Sonny! That's my brave boy! Did you beat 'em up? Did you...you know...have to get rough with 'em?	喔，Sonny！真是我的勇敢好孩子！你揍他們了嗎？你是不是……你知道的……得對他們動粗？
No, no rubber hose or anything, Carol. Honest. No, they were...very agreeable.	不，沒用橡皮管什麼的，Carol。老實說，不用。他們……其實還挺好講話的。
Well, you're an angel. Just for that, I'll give you 10% off your next piece of pie.	你真是個天使。就衝這一點，我下次給你的派打九折。
Thanks, Carol. Not necessary.	謝了，Carol。不用這麼客氣。
Oh, you deserve it. Well, I ain't gonna make a living standing and jawing all day. Thanks again, Sonny!	喔，這是你應得的。好啦，我不能整天站在這裡閒聊維生。再次謝謝你，Sonny！
You bet.	那當然。
Thanks again, Sonny. You're a sweetie.	再次謝謝你，Sonny。你人真好。
Don't mention it.	別客氣。
Hello, Carol. I got a call stating that you want me to check something out. What's the problem?	嗨，Carol。我接到通報說你要我來查點事情。怎麼了嗎？
Sonny, it's those bikes out front. They're always there, y'know?	Sonny，是門口那些機車啦。他們老是停在那兒，你知道嗎？
Not only can't my customers park their cars, but they're startin' to think we got those kinda' people frequenting my place of business.	不只我的客人沒地方停車，他們現在還開始覺得我這裡成了那種人常來的地方。
They're gettin' scared to come in at all. Can you do somethin', Sonny?	他們現在連進門都不敢了。你能想想辦法嗎，Sonny？
Well, they're legally parked, but I'll see what I can do. I suppose the owners are around here somewhere.	呃，他們停車是合法的，不過我會想想辦法。我猜車主應該就在附近。
Please do what you can, Sonny. Those kinda people are a menace to decent folk like us.	拜託你盡力，Sonny。那種人對我們這些正經人來說就是個威脅。
You're a sweetheart. Gosh, if the department only allowed you to accept gifts, I'd give you one of those nice big lemon meringue pies over there in the pie case. But I don't wanna break any bribery laws or nothin'.	你人真好。天啊，要是警局准你收禮物，我一定會送你一個櫃子裡那種漂亮的檸檬蛋白派。不過我可不想觸犯什麼賄賂罪。
Sure, sure, Carol. Whatever you say.	好啦好啦，Carol。你說了算。
Really, honey, my heart's in the right place. I just don't want to get into trouble, that's all.	真的，親愛的，我是一片好意。我只是不想惹上麻煩，就這樣。
Whatever you say, Carol. Well. I'll go see what I can do.	隨你怎麼說，Carol。好吧，我去看看能做些什麼。
It's being used at this time. Don't you have anything better to do, Officer?	現在有人在用。警官，你沒有更重要的事可做嗎？
Try sitting on the stool, Bonds. Carol wouldn't appreciate you sitting on her counter.	Bonds，坐吧檯凳吧。Carol 可不會欣賞你坐在她的櫃檯上。
A small group of mediocre coffee connoiseurs have stopped by to make sure no one has slipped in those pesky Fauxger's crystals.	一小群水準普通的咖啡達人順道過來，確認沒人偷偷摻了那些惱人的 Fauxger's 即溶咖啡晶粒進去。
This is your usual caffeine-ingesting spot.	這是你平常攝取咖啡因的固定地點。
It's the door through which Carol's Customers are herded in and out.	這是 Carol 的顧客們被趕進趕出的那扇門。
Nobody dropped anything.	沒有人掉東西。
Nice pattern. This isn't the kind of thing anyone would ever like to see when drunk. It's a little nauseating even when you're sober.	這圖案真「好看」。這種東西沒人會想在喝醉時看到。就算清醒著看也讓人有點反胃。
It's Carol's job to grab the platters of "food."	端那些「食物」餐盤是 Carol 的工作。
That's the kitchen...where most of Lytton's outrageous culinary crimes and atrocities are commited.	那是廚房……Lytton 大多數離譜的廚藝罪行與暴行都是在那裡犯下的。
Even though the whole place would probably look better in the dark, you resist the urge.	雖然這地方大概在黑暗中看起來會順眼一點，你還是忍住了關燈的衝動。
It's a lightswitch.	這是一個電燈開關。
In your high school days, you'd have been tempted to steal something like a menu board and display it in your room. You're over that now.	要是在高中時代，你大概會忍不住把這種菜單板偷回家掛在房裡。現在的你早就過了那個階段。
The large menu board lists some of the greasiest dishes in town. You can feel your arteries seizing up just looking at them.	這塊大菜單板上列著全鎮數一數二油膩的菜色。光看著就覺得動脈快要堵住了。
Just being in Carol's makes you want to wipe your hands on something, doesn't it?	光是待在 Carol's 裡面，就讓你很想找東西擦擦手，對吧？
It's a napkin dispenser.	這是一個餐巾紙盒。
Don't handle the patrons unless Carol asks for help.	除非 Carol 開口求助，否則別去招惹那些客人。
The patronage is comprised of people with either very little money or very little taste.	這裡的顧客不是沒什麼錢，就是沒什麼品味。
Pardon me, may I ask you something?	不好意思，我可以問你一件事嗎？
The patron mumbles something unintelligible, probably because of the mouthful of food currently being masticated.	這位客人含糊地咕噥了幾句聽不清楚的話，大概是因為嘴裡正嚼著滿滿的食物。
Sorry for bothering you.	抱歉打擾你了。
<RING RING RING>	<鈴鈴鈴>
Hello. This is Officer Sonny Bonds.	喂，我是 Sonny Bonds 警員。
Officer Bonds, this is Lt. Hamilton. I have an ID on that 11-44. He was a low-level drug dealer named Lenny Warren. Just as we suspected, he was killed by a bullet to the brain. I thought you'd be interested to find out. If you hear anything that might be pertinent, let me know immediately.	Bonds 警員，我是 Hamilton 中尉。我查出那名 11-44 的身分了。他是個叫 Lenny Warren 的低階毒販。正如我們猜測的，他死於腦部中彈。我想你會想知道。若聽到任何相關消息，立刻通知我。
Yes, sir, I will. And thank you, Lieutenant Hamilton. I appreciate your passing that information along.	是，長官，我會的。謝謝你，Hamilton 中尉。感謝你提供這項資訊。
You're welcome, Bonds. Fine work this afternoon, by the way. Remember, keep your eyes open. Goodbye.	不客氣，Bonds。對了，今天下午幹得不錯。記住，眼睛放亮點。再見。
Goodbye, sir.	再見，長官。
There's no one you need to call right now, Officer.	警官，你現在沒有需要聯絡的人。
It's an LT&T pay phone.	這是一台 LT&T 公共電話。
Had you not had to let your belt out another notch this morning, you might be tempted. An officer of the law must maintain certain minimum physical requirements.	要不是你今天早上才把皮帶又放鬆了一格，你可能還會心動。執法人員總得維持一定的體能標準。
How does someone like Dooley get away with such a big spare tire, anyway?	話說回來，Dooley 那種人怎麼能頂著那麼大一圈游泳圈都沒事？
Though there may be some dishes of dubious quality listed on Carol's menu, she makes a mighty fine pie.	雖然 Carol 的菜單上有些菜色品質堪慮，但她做的派可真是一絕。
Lordy, couldn't you boys discuss something a little less...disgusting? You're gonna scare off my customers. Here's your coffee. You want any pie?	我的天啊，你們這些小伙子就不能聊點沒那麼……噁心的話題嗎？你們會把我的客人都嚇跑的。咖啡來了。要來塊派嗎？
Uh, no thanks, Carol. For some reason, I'm not real hungry right now.	呃，不用了，謝謝，Carol。不知道為什麼，我現在不太餓。
Okay, you boys have a good break, now.	好啦，你們兩個好好休息一下吧。
Thanks, Carol.	謝了，Carol。
It isn't us scaring off her customers. It's this liquid fertilizer she serves as coffee, hah!	嚇跑她客人的才不是我們，是她端出來當咖啡賣的那杯液態肥料，哈！
You're here on a call, Bonds. Taking too long to respond to an official call could cost someone their life.	Bonds，你是為了出勤才在這裡的。回應公務通報拖太久，可能會害人送命。
Sonny! You gotta phone call over here!	Sonny！這裡有你的電話！
Thanks, Carol!	謝了，Carol！
I'll be right back, Steve.	我馬上回來，Steve。
Steve isn't a physical kinda guy. He's looking pretty cranky right now, too.	Steve 不是那種動手動腳的人。而且他現在看起來心情也很差。
It's your pal, Steve.	這是你的哥兒們，Steve。
Steve's an okay-looking guy, as far as guys go. He's pretty busy these days, judging by all the subpoenas in his pigeonhole.	就男人而言，Steve 長得還算不錯。從他信箱裡塞滿的傳票來看，他這陣子挺忙的。
You're talked out. Perhaps it's time to hit the road.	你話都說完了。或許該上路了。
Hi, buddy, glad you could make it. So what's up? How's your shift going?	嘿，老兄，你能來真好。怎麼樣？這班值勤得如何？
How's my shift going? Well, other than going to the scene of a car wreck and finding a dead guy--probably a 377--my shift's going okay. How's yours?	我這班值勤得怎樣？呃，除了跑了一趟車禍現場，發現一具屍體——大概是件 377——其他都還算順利。你呢？
No way! You found a murder victim? How did you know he was murdered?	不會吧！你發現了一名命案受害者？你怎麼知道他是被謀殺的？
Bullet hole in the middle of his forehead. Little clues like that.	額頭正中央一個彈孔。就這種小小的線索。
NO WAY! That's bizarre, Sonny. Are they gonna let you work on the case?	不會吧！這太詭異了，Sonny。他們會讓你參與這個案子嗎？
No, I don't think so. Hamilton had it covered. I kinda hope they keep me updated, though.	不，我想不會。Hamilton 已經接手了。不過我倒希望他們能讓我隨時掌握進度。
Hamilton's a good guy. Cool as ice. I've seen him on the scene of a homicide that could have, like, been right out of a horror movie, just collecting information and evidence like it was nothing.	Hamilton 是個好人，冷靜得像冰一樣。我看過他在命案現場蒐集資料和證物，那場面簡直像恐怖電影，他卻像沒事一樣。
I was this close to barfing, and Sam--remember Sam? Sam was losin' his lunch on the pavement.	我差點就吐出來了，還有 Sam——你記得 Sam 吧？Sam 當場把中飯全吐在人行道上。
Oh yeah, I remember hearing about that. Well, I was pretty cool, y'know.	喔對，我有聽說這件事。嗯，我可是相當淡定的，你知道的。
Oh yeah? I find that hard to believe, Bonds. You used to lose it during training films.	是喔？我很難相信這種話，Bonds。你以前看訓練影片都會崩潰。
Right, Johnson. Not in your lifetime.	得了吧，Johnson。你這輩子想都別想。
Okay, I almost did.	好啦，我差點崩潰。
Okay, the only reason I didn't is because I skipped breakfast. Happy now?	好啦，我沒吐出來，純粹是因為我早餐沒吃。這樣你滿意了嗎？
That I believe, ha ha!	這我倒相信，哈哈！
What was that all about?	那到底是怎麼回事？
Lt. Hamilton got the ID on the car wreck victim. He was a small-time dope dealer named Lenny Warren. And they also determined the cause of death was the bullet wound in the forehead.	Hamilton 中尉確認了車禍死者的身分。他是名叫 Lenny Warren 的小毒販。他們也判定死因是額頭上的槍傷。
What a surprise. I'd have thought it was Carol's coffee.	真令人意外。我還以為是 Carol 的咖啡搞的鬼。
You're morbid, Steve.	Steve，你真是個病態的人。
I calls 'em as I sees 'em, Bonds. Well, we better split, huh? And don't forget Jack's party tonight at the Blue Room, Sonny-boy.	我只是照我看到的說，Bonds。好了，我們最好分頭行動，嗯？別忘了今晚在 Blue Room 的 Jack 派對，Sonny 小子。
Yeah, let's go, Johnson. Time to save the world. See you tonight!	好啦，走吧，Johnson。該去拯救世界了。今晚見！
You better go take that call, buddy.	老兄，你最好去接那通電話。
So anyway, did you get an ID on the guy?	話說回來，那傢伙的身分查出來了嗎？
No, not yet. I hope they tell me when they do. So how's your girlfried?	還沒，希望查到的時候他們會通知我。話說你女朋友怎麼樣了？
Oh, she's OK. She's given up karate to work on her tan. I can't say I disapprove!	喔，她還不錯。她放棄空手道，改去曬黑了。我倒是不反對！
That's good to know. She was dangerous enough to start with, Steve.	這樣聽了就放心多了。反正她本來就夠危險了，Steve。
Hey, watch it, Bonds. Just cause you don't know anything about women...	嘿，小心點，Bonds。就因為你對女人一竅不通……
Maybe you should offer a class, Steve. I'm sure everyone is dying to hear the secrets of your success.	也許你該開堂課，Steve。我相信大家都很想聽聽你成功的祕訣。
Smartass. At least I have a girlfriend. I don't have to make phone calls to 1-900 numbers.	臭屁什麼。至少我有女朋友，不用打電話給那種 1-900 付費專線。
Dream on, Johnson. I've NEVER called one of those numbers.	作夢吧，Johnson。我從來沒打過那種電話。
Hey, listen, Sonny, I didn't mean--	嘿，聽著，Sonny，我不是那個意思——
Got my computer in Narcotics. What do I need with women when I've got a computer?	我在緝毒組有電腦。有電腦在手，我要女人幹嘛？
I always wondered why the light was on in the narcotics office after hours! Okay, while we're playing truth-or-dare...admit it. You're the Gremlin, right?	我一直很好奇為什麼下班後緝毒組辦公室的燈還亮著！好啦，既然我們在玩真心話大冒險……老實招了吧。你就是那個 Gremlin，對吧？
Nope.	才不是。
Come on, 'fess up. You're the one who's been making old Dooley's life a living hell, aren't you?	拜託，招了吧。一直把老 Dooley 搞得生不如死的就是你，對不對？
Not me, buddy. I thought it was you.	不是我，老兄。我還以為是你咧。
Don't pull that innocent crap with me, Bonds. Those wide-eyed "what, ME?" eyeballs wouldn't fool anybody.	別跟我裝無辜，Bonds。那副睜大眼睛裝『啊，是我嗎？』的表情，誰都騙不了。
Believe what you want, Steve-o-rama. It's not me. But it is funny as hell...poor old Dooley! I can't believe someone dyed his uniform pink, ha ha ha!	你愛信不信，Steve-o-rama。反正不是我。不過真的是笑死人……可憐的老 Dooley！真不敢相信有人把他的制服染成粉紅色，哈哈哈！
Do you really want to touch something that's been the resting place for untold thousands of buns?	你真的想去碰一個不知道被多少屁股坐過的東西嗎？
These vinyl stools have cradled many a gluteus maximus in their time.	這些塑膠皮面的凳子這些年來承接過不少屁股。
You take a load off at the counter, looking forward to coffee and conversation with your old pal, Steve.	你在櫃檯前坐下歇歇腳，期待著跟老朋友 Steve 喝杯咖啡、聊聊天。
You may be addicted to donuts, Bonds, but you haven't sunk low enough to be eating straight sugar.	Bonds，你也許嗜甜甜圈如命，但還不至於淪落到直接吃糖。
It's a sugar dispenser.	這是糖罐。
Don't touch the window. If you do, you'll end up needing to wash your hands.	別碰那扇窗。碰了你就得去洗手了。
Beyond the grimy window of Carol's is the grimy street.	Carol 咖啡城堡那扇髒兮兮的窗戶外面，是同樣髒兮兮的街道。
The building is made of cheap brick. Better hope an earthquake never hits!	這棟建築是用便宜磚頭蓋的。最好祈禱永遠別遇到地震！
It's a low-rent, high-crime apartment building.	這是一棟租金便宜、治安卻很差的公寓大樓。
You'll never reach them from here. Just as well, since you have no use for them.	你從這裡絕對搆不到它們。反正你也用不著。
Old, worn curtains flutter through the apartment window.	破舊的窗簾從公寓窗戶飄了出來。
Not being trained in mountain-climbing techniques, you find yourself unable to scale the wall up to the roof.	你沒受過攀岩訓練，發現自己沒辦法爬上牆到屋頂。
Tarpaper and poor tuckpointing.	防水油毛氈，加上粗糙的磚縫修補。
Let the citizens have their privacy, Officer.	警員，讓市民保有一點隱私吧。
The tenant of this apartment seems to have opened the window to get some air. The quality of the air in this area, though, makes this a futile gesture.	這間公寓的房客似乎打開了窗戶想透透氣。不過以這一帶的空氣品質來說，這麼做根本是白費工夫。
Hello up there!	哈囉，樓上的！
A shrill, nervous woman's voice calls out; "Yeah, whadda ya want? I ain't done nothin' wrong. Leave me alone, cop."	一個尖銳、緊張的女聲喊道：「幹嘛啦？我什麼壞事都沒幹。別煩我，條子。」
You haven't done anything, Ma'am. I was just being friendly.	女士，你沒做錯什麼事。我只是想友善打個招呼。
The woman replies, "Oh, that's nice, I suppose. Cleaning up the neighborhood, are you?"	那女人回答：「喔，那還不錯嘛，我想。你是在整頓社區治安嗎？」
Doing my best, Ma'am.	盡力而為，女士。
